RAh,RAm,RAs,DE-,DEd,DEm,DEs,PosErr,z,e_z,source,Rmag,e_Rmag
,,,,,,,arcsec,---,---,---,mag,mag
09,16,00.130,+,29,51,20.20,0.5,0.530473,0.000074,DEIMOS 2011A,23.450,0.038
09,16,00.352,+,29,45,56.24,0.5,0.463547,0.000045,DEIMOS 2011A,21.952,0.016
09,16,00.436,+,29,45,15.46,0.5,0.660514,0.000054,DEIMOS 2011A,20.948,0.009
09,16,00.439,+,29,45,23.27,0.5,0.455511,0.000017,DEIMOS 2011A,22.300,0.022
09,16,00.479,+,29,57,31.43,0.5,0.523601,0.000028,DEIMOS 2011A,21.038,0.006
09,16,00.538,+,29,51,03.51,0.5,0.530744,0.000046,DEIMOS 2011A,21.304,0.008
09,16,00.699,+,29,46,17.82,0.5,0.402161,0.000011,DEIMOS 2011A,22.491,0.016
09,16,00.845,+,29,54,58.65,0.5,0.347313,0.000006,DEIMOS 2011A,20.553,0.003
09,16,00.845,+,29,48,00.96,0.5,0.716192,0.000020,DEIMOS 2011A,22.519,0.018
09,16,00.864,+,29,53,30.04,0.5,0.589784,0.000042,DEIMOS 2011A,22.340,0.015
09,16,01.124,+,29,49,31.95,0.5,0.886863,0.000099,DEIMOS 2011A,22.093,0.022
09,16,01.407,+,29,53,24.30,0.5,0.829720,0.000081,DEIMOS 2011A,22.576,0.020
09,16,01.415,+,29,50,19.74,0.5,0.123754,0.000081,DEIMOS 2011A,20.012,0.004
09,16,01.452,+,29,54,18.60,0.5,0.536525,0.000017,DEIMOS 2011A,22.457,0.018
09,16,01.568,+,29,50,08.74,1.27,0.538038,0.000003,DEIMOS 2011A,NULL,NULL
09,16,01.711,+,29,51,39.09,0.5,0.185985,0.000004,DEIMOS 2011A,21.479,0.009
09,16,01.714,+,29,49,35.64,0.5,0.903821,0.000139,DEIMOS 2011A,22.752,0.021
09,16,01.882,+,29,52,54.63,0.5,0.606482,0.000025,DEIMOS 2012B,21.395,0.009
09,16,01.941,+,29,46,17.54,0.5,0.995000,0.000107,DEIMOS 2011A,22.403,0.021
09,16,01.948,+,29,52,04.08,0.5,0.590990,0.000048,DEIMOS 2011A,21.863,0.013
09,16,01.975,+,29,50,19.03,0.5,0.533398,0.000019,DEIMOS 2011A,22.286,0.015
09,16,01.987,+,29,49,23.61,0.5,0.185422,0.000010,DEIMOS 2011A,22.214,0.016
09,16,01.991,+,29,53,56.81,0.5,0.527551,0.000018,DEIMOS 2012B,21.545,0.008
09,16,02.032,+,29,46,20.32,0.5,0.901470,0.000107,DEIMOS 2011A,22.135,0.016
09,16,02.041,+,29,51,54.38,0.5,0.591772,0.000083,DEIMOS 2011A,23.190,0.026
09,16,02.069,+,29,48,55.03,0.5,0.535087,0.000023,DEIMOS 2011A,20.896,0.005
09,16,02.143,+,29,52,32.84,0.5,0.529475,0.000043,DEIMOS 2012B,22.043,0.012
09,16,02.257,+,29,53,06.17,0.5,0.862842,0.000019,DEIMOS 2011A,22.128,0.013
09,16,02.315,+,29,52,08.92,0.5,0.529558,0.000051,DEIMOS 2011A,21.844,0.012
09,16,02.348,+,29,45,51.19,0.5,0.465678,0.000014,DEIMOS 2011A,23.425,0.040
09,16,02.427,+,29,45,57.86,0.5,0.896589,0.000120,DEIMOS 2011A,23.326,0.044
09,16,02.666,+,29,53,51.44,0.5,0.777581,0.000107,DEIMOS 2011A,22.203,0.014
09,16,02.670,+,29,51,29.96,0.5,0.532569,0.000060,DEIMOS 2011A,21.210,0.007
09,16,02.733,+,29,54,21.98,0.5,0.527290,0.000032,DEIMOS 2011A,20.748,0.005
09,16,02.810,+,29,53,25.49,0.5,0.529126,0.000118,DEIMOS 2011A,20.720,0.005
09,16,02.870,+,29,51,16.28,0.5,0.690104,0.000011,DEIMOS 2011A,22.315,0.017
09,16,02.984,+,29,50,15.66,0.5,0.536039,0.000046,DEIMOS 2011A,22.076,0.014
09,16,03.020,+,29,52,06.20,0.5,0.727946,0.000016,DEIMOS 2011A,21.688,0.009
09,16,03.035,+,29,55,43.77,0.5,0.537102,0.000006,DEIMOS 2012B,21.262,0.007
09,16,03.046,+,29,51,59.37,0.5,0.528120,0.000014,DEIMOS 2011A,21.289,0.008
09,16,03.122,+,29,55,03.44,0.5,0.347177,0.000005,DEIMOS 2011A,22.578,0.018
